Found 0 violation(s).
         98739 function calls (96267 primitive calls) in 0.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     74/1    0.007    0.000    0.175    0.175 {built-in method builtins.exec}
     60/4    0.007    0.000    0.000    0.000 {built-in method _io.open}
       36    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
       35    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
      504    0.006    0.000    0.010    0.000 {built-in method posix.stat}
        1    0.005    0.005    0.005    0.005 {built-in method builtins.compile}
     60/6    0.004    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
  171/169    0.004    0.000    0.017    0.000 {built-in method builtins.__build_class__}
       12    0.003    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
       37    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      772    0.003    0.000    0.003    0.000 {built-in method posix.lstat}
       61    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
       60    0.003    0.000    0.038    0.001 lint_wiki.py:169(_validate_page_content)
      601    0.003    0.000    0.005    0.000 pathlib.py:387(_parse_path)
     1042    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
     1757    0.002    0.000    0.005    0.000 pathlib.py:484(_str_normcase)
     9382    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       12    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
    97/92    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      833    0.002    0.000    0.004    0.000 <frozen posixpath>:71(join)
    88/28    0.002    0.000    0.005    0.000 _parser.py:512(_parse)
      182    0.002    0.000    0.008    0.000 <frozen posixpath>:429(_joinrealpath)
     1194    0.002    0.000    0.003    0.000 pathlib.py:358(__init__)
     1134    0.002    0.000    0.008    0.000 pathlib.py:380(with_segments)
      195    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
7470/6289    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     16/4    0.002    0.000    0.000    0.000 {method 'get' of '_queue.SimpleQueue' objects}
     1194    0.002    0.000    0.005    0.000 pathlib.py:1157(__init__)
     1332    0.002    0.000    0.007    0.000 pathlib.py:437(__str__)
1411/1324    0.002    0.000    0.004    0.000 {built-in method __new__ of type object at 0x7fe266c55600}
   176/27    0.001    0.000    0.004    0.000 _compiler.py:37(_compile)
       22    0.001    0.000    0.002    0.000 ipaddress.py:1187(_ip_int_from_string)
      971    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
  290/258    0.001    0.000    0.183    0.001 {method 'acquire' of '_thread.lock' objects}
     4024    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        7    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     2156    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      848    0.001    0.000    0.007    0.000 pathlib.py:551(drive)
      600    0.001    0.000    0.007    0.000 pathlib.py:407(_load_parts)
       87    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
      527    0.001    0.000    0.006    0.000 pathlib.py:277(__getitem__)
     1988    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       68    0.001    0.000    0.001    0.000 _compiler.py:243(_optimize_charset)
     1694    0.001    0.000    0.001    0.000 {built-in method sys.intern}
      601    0.001    0.000    0.001    0.000 <frozen posixpath>:138(splitroot)
      947    0.001    0.000    0.001    0.000 pathlib.py:429(_format_parsed_parts)
        7    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
3306/3300    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      758    0.001    0.000    0.006    0.000 pathlib.py:519(__eq__)
      525    0.001    0.000    0.005    0.000 pathlib.py:420(_from_parsed_parts)
       60    0.001    0.000    0.002    0.000 page_template_utils.py:264(extract_frontmatter_keys)
      178    0.001    0.000    0.007    0.000 <frozen _collections_abc>:1032(__contains__)
       60    0.001    0.000    0.010    0.000 pathlib.py:663(relative_to)
     1194    0.001    0.000    0.001    0.000 pathlib.py:1164(__new__)
      704    0.001    0.000    0.007    0.000 <frozen _collections_abc>:1022(__iter__)
